Airport Code,Airport,Metro Area,State,2023 population
BTV,Burlington,Burlington,Vermont,44528
PWM,Portland,Portland,Maine,69104
SYR,Syracuse,Syracuse,New York,145560
ROC,Rochester,Rochester,New York,207274
FLL,Fort Lauderdale-Hollywood International Airport,Fort Lauderdale-Hollywood,Florida,338114
OMA,Omaha,Omaha,Nebraska,483335
SDF,Louisville,Louisville,Kentucky,622981
PDX,Portland International Airport,Portland,Oregon,630498
AUS,Austin Bergstrom International Airport,Austin,Texas,979882
JAX,Jacksonville,Jacksonville,Florida,985843
LAX,Los Angeles International Airport,Los Angeles,California,3820914
